time,dir,queue,vehicles,mean_speed
1.0,W,1,1,45.01
1.0,N,1,1,75.01
1.0,E,0,0,60.01
1.0,S,2,2,30.01
2.0,W,0,1,46.59
2.0,N,0,1,76.91
2.0,E,0,0,60.01
2.0,S,0,2,33.14
3.0,W,0,1,48.35
3.0,N,0,2,57.2
3.0,E,0,0,60.01
3.0,S,0,2,36.49
4.0,W,1,3,34.48
4.0,N,0,2,60.48
4.0,E,0,0,60.01
4.0,S,0,2,40.07
5.0,W,0,3,39.24
5.0,N,0,2,63.17
5.0,E,0,0,60.01
5.0,S,0,3,36.42
6.0,W,0,3,42.91
6.0,N,0,3,49.81
6.0,E,0,2,48.5
6.0,S,0,5,39.36
7.0,W,0,4,44.09
7.0,N,0,3,55.07
7.0,E,0,2,51.23
7.0,S,0,5,44.53
8.0,W,0,5,39.92
8.0,N,0,4,55.38
8.0,E,0,3,53.5
8.0,S,0,5,50.7
9.0,W,0,5,43.74
9.0,N,0,4,60.99
9.0,E,0,4,46.83
9.0,S,0,5,53.87
10.0,W,0,4,48.64
10.0,N,0,4,68.7
10.0,E,0,4,47.71
10.0,S,0,5,55.35
11.0,W,0,5,47.37
11.0,N,0,3,69.6
11.0,E,0,4,51.26
11.0,S,0,5,55.8
12.0,W,0,5,48.41
12.0,N,0,2,77.94
12.0,E,0,4,54.31
12.0,S,0,5,56.43
13.0,W,0,4,49.0
13.0,N,0,2,75.37
13.0,E,0,4,56.8
13.0,S,0,5,57.28
14.0,W,0,3,42.34
14.0,N,0,3,65.97
14.0,E,0,4,57.2
14.0,S,0,5,56.41
15.0,W,0,3,37.56
15.0,N,0,2,75.71
15.0,E,0,4,55.53
15.0,S,0,6,51.74
16.0,W,0,2,32.15
16.0,N,0,3,60.45
16.0,E,0,4,53.31
16.0,S,0,6,49.84
17.0,W,1,2,45.54
17.0,N,0,3,60.76
17.0,E,0,3,52.72
17.0,S,0,7,45.43
18.0,W,1,2,46.63
18.0,N,0,4,64.68
18.0,E,0,4,48.45
18.0,S,0,5,50.55
19.0,W,1,3,47.37
19.0,N,0,4,70.87
19.0,E,0,4,45.25
19.0,S,0,7,45.78
20.0,W,1,3,49.04
20.0,N,0,3,76.09
20.0,E,0,5,45.49
20.0,S,0,6,46.54
21.0,W,1,4,48.48
21.0,N,0,4,72.51
21.0,E,0,4,44.59
21.0,S,0,5,50.55
22.0,W,1,5,44.32
22.0,N,0,4,70.99
22.0,E,0,4,44.22
22.0,S,0,5,54.13
23.0,W,1,5,42.17
23.0,N,0,2,74.88
23.0,E,1,5,35.73
23.0,S,0,6,55.93
24.0,W,2,6,41.64
24.0,N,0,1,87.21
24.0,E,2,5,37.71
24.0,S,0,6,56.14
25.0,W,2,6,40.16
25.0,N,0,1,83.46
25.0,E,2,6,35.3
25.0,S,0,7,56.63
26.0,W,2,7,40.91
26.0,N,0,0,100.01
26.0,E,2,6,37.77
26.0,S,0,7,57.64
27.0,W,3,9,35.0
27.0,N,0,1,79.9
27.0,E,2,7,42.22
27.0,S,0,7,58.3
28.0,W,4,10,28.5
28.0,N,0,1,81.2
28.0,E,2,7,41.73
28.0,S,0,7,57.75
29.0,W,4,10,29.86
29.0,N,0,2,73.61
29.0,E,2,7,37.38
29.0,S,0,7,57.16
30.0,W,5,11,24.04
30.0,N,0,3,66.63
30.0,E,2,7,36.45
30.0,S,0,7,56.98
31.0,W,5,11,23.84
31.0,N,0,3,70.81
31.0,E,2,7,35.53
31.0,S,0,7,57.47
32.0,W,5,10,21.93
32.0,N,0,3,73.55
32.0,E,3,7,36.53
32.0,S,0,6,56.56
33.0,W,7,12,28.26
33.0,N,0,3,69.26
33.0,E,3,7,35.27
33.0,S,0,6,52.64
34.0,W,8,12,25.46
34.0,N,0,1,86.93
34.0,E,3,7,32.68
34.0,S,0,5,50.33
35.0,W,8,12,21.29
35.0,N,0,1,88.87
35.0,E,4,6,33.85
35.0,S,0,4,47.18
36.0,W,8,10,31.15
36.0,N,0,0,100.01
36.0,E,4,5,30.94
36.0,S,0,4,41.96
37.0,W,8,13,18.72
37.0,N,0,0,100.01
37.0,E,4,5,30.12
37.0,S,0,2,53.77
38.0,W,10,14,23.79
38.0,N,0,1,88.43
38.0,E,5,5,30.02
38.0,S,0,2,52.97
39.0,W,10,14,25.17
39.0,N,0,2,80.69
39.0,E,5,5,30.01
39.0,S,0,3,50.45
40.0,W,10,15,27.58
40.0,N,0,3,80.56
40.0,E,5,6,22.33
40.0,S,0,3,52.24
41.0,W,10,15,27.21
41.0,N,0,3,83.91
41.0,E,5,7,29.49
41.0,S,0,3,51.7
42.0,W,11,15,28.86
42.0,N,0,2,82.95
42.0,E,5,7,31.42
42.0,S,0,2,55.99
43.0,W,12,15,29.1
43.0,N,0,2,81.7
43.0,E,5,7,33.53
43.0,S,0,3,52.47
44.0,W,13,14,30.95
44.0,N,0,0,100.01
44.0,E,5,7,35.2
44.0,S,0,3,54.25
45.0,W,13,14,30.43
45.0,N,0,0,100.01
45.0,E,5,8,39.3
45.0,S,0,3,56.26
46.0,W,13,14,30.06
46.0,N,0,0,100.01
46.0,E,5,8,39.59
46.0,S,0,4,53.46
47.0,W,14,14,30.02
47.0,N,0,0,100.01
47.0,E,3,8,40.15
47.0,S,0,4,54.68
48.0,W,12,15,31.29
48.0,N,0,0,100.01
48.0,E,2,6,44.87
48.0,S,0,4,56.37
49.0,W,10,15,31.52
49.0,N,0,1,81.73
49.0,E,1,6,44.24
49.0,S,0,4,57.32
50.0,W,8,13,30.97
50.0,N,0,1,83.7
50.0,E,0,7,30.68
50.0,S,0,4,57.37
51.0,W,6,16,28.76
51.0,N,0,2,79.35
51.0,E,0,7,32.51
51.0,S,0,4,54.94
52.0,W,5,16,31.15
52.0,N,0,2,82.5
52.0,E,0,8,33.64
52.0,S,0,4,54.18
53.0,W,3,15,28.11
53.0,N,0,2,80.0
53.0,E,0,8,36.18
53.0,S,0,4,53.61
54.0,W,1,15,27.23
54.0,N,0,2,78.12
54.0,E,1,9,35.82
54.0,S,0,6,47.73
55.0,W,1,14,25.23
55.0,N,0,1,84.73
55.0,E,2,9,35.18
55.0,S,0,6,48.84
56.0,W,0,14,23.94
56.0,N,0,1,93.32
56.0,E,3,10,34.17
56.0,S,1,6,48.12
57.0,W,0,14,20.7
57.0,N,0,2,78.49
57.0,E,4,11,36.81
57.0,S,1,7,47.37
58.0,W,1,13,21.86
58.0,N,0,2,77.03
58.0,E,5,12,37.86
58.0,S,1,7,46.31
59.0,W,1,11,22.13
59.0,N,0,2,75.13
59.0,E,5,12,35.25
59.0,S,1,8,45.35
60.0,W,1,12,23.75
60.0,N,0,2,73.53
60.0,E,5,13,35.04
60.0,S,1,9,44.21
61.0,W,1,10,23.42
61.0,N,0,2,71.07
61.0,E,5,13,34.75
61.0,S,2,9,43.82
62.0,W,1,11,25.36
62.0,N,0,3,60.6
62.0,E,5,14,34.8
62.0,S,2,9,43.9
63.0,W,1,10,25.5
63.0,N,0,2,69.41
63.0,E,5,15,34.84
63.0,S,2,9,44.1
64.0,W,1,9,26.45
64.0,N,1,3,73.32
64.0,E,5,15,33.57
64.0,S,2,10,45.33
65.0,W,1,9,27.51
65.0,N,1,3,70.6
65.0,E,5,15,31.92
65.0,S,3,10,46.98
66.0,W,1,7,27.72
66.0,N,1,4,48.76
66.0,E,5,15,29.78
66.0,S,3,10,47.27
67.0,W,1,7,29.86
67.0,N,1,4,45.24
67.0,E,5,16,29.94
67.0,S,3,10,46.48
68.0,W,1,5,29.49
68.0,N,1,4,41.43
