time,dir,queue,vehicles,mean_speed
1.0,W,0,0,60.01
1.0,N,0,0,100.01
1.0,E,0,0,60.01
1.0,S,0,0,60.01
2.0,W,0,0,60.01
2.0,N,0,0,100.01
2.0,E,0,0,60.01
2.0,S,0,0,60.01
3.0,W,0,0,60.01
3.0,N,0,0,100.01
3.0,E,0,0,60.01
3.0,S,0,0,60.01
4.0,W,0,0,60.01
4.0,N,0,0,100.01
4.0,E,0,0,60.01
4.0,S,0,0,60.01
5.0,W,0,0,60.01
5.0,N,0,0,100.01
5.0,E,0,0,60.01
5.0,S,0,0,60.01
6.0,W,0,0,60.01
6.0,N,0,0,100.01
6.0,E,0,0,60.01
6.0,S,0,0,60.01
7.0,W,0,0,60.01
7.0,N,0,0,100.01
7.0,E,0,0,60.01
7.0,S,0,0,60.01
8.0,W,0,0,60.01
8.0,N,0,0,100.01
8.0,E,0,0,60.01
8.0,S,0,0,60.01
9.0,W,0,0,60.01
9.0,N,0,0,100.01
9.0,E,0,0,60.01
9.0,S,0,0,60.01
10.0,W,0,0,60.01
10.0,N,0,0,100.01
10.0,E,0,0,60.01
10.0,S,0,0,60.01
11.0,W,0,0,60.01
11.0,N,0,0,100.01
11.0,E,0,0,60.01
11.0,S,0,0,60.01
12.0,W,0,1,60.17
12.0,N,0,0,100.01
12.0,E,0,0,60.01
12.0,S,0,0,60.01
13.0,W,0,1,60.49
13.0,N,0,0,100.01
13.0,E,0,0,60.01
13.0,S,0,0,60.01
14.0,W,0,1,60.91
14.0,N,0,0,100.01
14.0,E,0,0,60.01
14.0,S,0,0,60.01
15.0,W,0,1,59.47
15.0,N,0,0,100.01
15.0,E,0,0,60.01
15.0,S,0,0,60.01
16.0,W,0,1,56.04
16.0,N,0,0,100.01
16.0,E,0,0,60.01
16.0,S,0,0,60.01
17.0,W,0,0,60.01
17.0,N,0,0,100.01
17.0,E,0,0,60.01
17.0,S,0,0,60.01
18.0,W,0,0,60.01
18.0,N,0,0,100.01
18.0,E,0,0,60.01
18.0,S,0,0,60.01
19.0,W,0,0,60.01
19.0,N,0,0,100.01
19.0,E,0,0,60.01
19.0,S,0,0,60.01
20.0,W,0,0,60.01
20.0,N,0,0,100.01
20.0,E,0,0,60.01
20.0,S,0,0,60.01
21.0,W,0,0,60.01
21.0,N,0,0,100.01
21.0,E,0,0,60.01
21.0,S,0,0,60.01
22.0,W,0,0,60.01
22.0,N,0,0,100.01
22.0,E,0,0,60.01
22.0,S,0,0,60.01
23.0,W,0,0,60.01
23.0,N,0,0,100.01
23.0,E,0,0,60.01
23.0,S,0,0,60.01
24.0,W,0,0,60.01
24.0,N,0,0,100.01
24.0,E,0,0,60.01
24.0,S,0,0,60.01
25.0,W,1,1,45.01
25.0,N,0,0,100.01
25.0,E,0,0,60.01
25.0,S,0,0,60.01
26.0,W,0,1,47.26
26.0,N,0,0,100.01
26.0,E,0,0,60.01
26.0,S,0,0,60.01
27.0,W,0,1,49.07
27.0,N,0,0,100.01
27.0,E,0,0,60.01
27.0,S,0,0,60.01
28.0,W,0,1,50.79
28.0,N,0,0,100.01
28.0,E,0,0,60.01
28.0,S,0,0,60.01
29.0,W,0,1,52.21
29.0,N,0,0,100.01
29.0,E,0,1,60.12
29.0,S,0,0,60.01
30.0,W,0,1,54.09
30.0,N,0,0,100.01
30.0,E,0,1,60.89
30.0,S,0,0,60.01
31.0,W,0,1,56.04
31.0,N,0,0,100.01
31.0,E,0,1,60.4
31.0,S,0,0,60.01
32.0,W,0,1,55.85
32.0,N,0,0,100.01
32.0,E,0,1,59.74
32.0,S,0,0,60.01
33.0,W,0,2,49.36
33.0,N,0,0,100.01
33.0,E,0,1,60.84
33.0,S,0,0,60.01
34.0,W,0,2,45.54
34.0,N,0,0,100.01
34.0,E,0,1,60.91
34.0,S,0,1,52.02
35.0,W,0,1,56.66
